Date,Open,High,Low,Close,Adj Close,Volume
2023-11-16,275.5,276.5,272.5,273.5,273.5,2319
2023-11-17,273.5,276.5,270.5,274.0,274.0,2936
2023-11-20,275.0,279.0,275.0,275.5,275.5,1445
2023-11-21,274.5,280.0,274.0,276.0,276.0,2555
2023-11-22,276.5,285.0,276.5,284.5,284.5,3059
2023-11-23,282.0,284.0,280.0,282.5,282.5,3579
2023-11-24,281.0,284.0,280.5,284.0,284.0,1707
2023-11-27,284.5,285.5,281.0,282.0,282.0,1303
2023-11-28,282.0,286.5,280.0,286.5,286.5,2051
2023-11-29,286.5,289.5,285.5,288.0,288.0,1426
2023-11-30,288.0,290.5,286.0,290.0,290.0,3149
2023-12-01,290.5,292.0,287.5,292.0,292.0,2027
2023-12-04,291.0,295.5,284.5,286.5,286.5,2181
2023-12-05,287.0,291.0,285.5,291.0,291.0,1905
2023-12-06,291.0,293.5,289.0,292.0,292.0,1900
2023-12-07,292.0,295.0,289.5,293.5,293.5,1317
2023-12-08,293.0,296.5,292.5,293.5,293.5,3129
2023-12-11,293.0,294.5,288.0,291.0,291.0,2094
2023-12-12,290.5,290.5,285.0,286.5,286.5,2280
2023-12-13,287.5,290.5,285.5,285.5,285.5,3171
2023-12-14,285.5,299.0,282.5,298.5,298.5,5021
2023-12-15,296.5,305.5,295.0,302.0,302.0,10091
2023-12-18,301.5,307.5,301.0,307.5,307.5,4808
2023-12-19,306.5,308.5,298.0,301.5,301.5,3225
2023-12-20,301.0,308.0,294.5,308.0,308.0,5050
2023-12-21,305.0,309.0,303.5,306.0,306.0,3239
2023-12-22,305.0,307.5,302.5,305.0,305.0,3945
2023-12-27,305.5,309.5,305.0,308.5,308.5,2707
2023-12-28,308.0,311.0,305.5,309.5,309.5,2206
2023-12-29,308.5,310.0,305.5,306.0,306.0,1270
2024-01-02,309.0,310.0,305.0,307.0,307.0,1943
2024-01-03,306.5,306.5,298.5,302.0,302.0,3850
2024-01-04,300.5,305.5,300.5,304.5,304.5,2711
2024-01-05,304.5,304.5,298.0,302.5,302.5,1960
2024-01-08,303.0,304.0,299.0,301.5,301.5,2596
2024-01-09,301.5,302.5,300.0,302.5,302.5,3132
2024-01-10,301.5,303.0,299.5,300.5,300.5,1392
